VERSION|DML_IND|BENE_ID|STATE_CODE|BENE_COUNTY_CD|BENE_ZIP_CD|BENE_BIRTH_DT|BENE_SEX_IDENT_CD|BENE_RACE_CD|BENE_ENTLMT_RSN_ORIG|BENE_ENTLMT_RSN_CURR|BENE_ESRD_IND|BENE_MDCR_STATUS_CD|BENE_PTA_TRMNTN_CD|BENE_PTB_TRMNTN_CD|BENE_CRNT_HIC_NUM|BENE_SRNM_NAME|BENE_GVN_NAME|BENE_MDL_NAME
4|INSERT|1|MS|CHOCTAW|373433907|26-JUL-1934|M|1|0|0|N|10|0|0|345301207C|Akwvud|Htoz|G
4|INSERT|2|IL|WILL|725492158|28-APR-1944|M|1|0|0|N|10|0|0|136534348M|Pvnhob|Xzhr|E
4|INSERT|3|WA|SNOHOMISH|364452058|31-AUG-1930|M|1|0|0|N|10|0|0|756868363N|Nwfnlk|Tkvc|L
4|INSERT|4|MA|NORFOLK|281675591|22-MAR-1933|M|1|1|0|N|10|0|0|114386190J|Qsrdsa|Weju|L
4|INSERT|5|CA|LOS ANGELES|899133262|30-JUN-1966|M|1|1|1|N|20|0|0|784445546F|Ajvexj|Saqs|
4|INSERT|6|FL|MIAMI-DADE|580510449|13-AUG-1943|M|1|0|0|N|10|0|0|143078243J|Hdbvfd|Zgfp|C
4|INSERT|7|TN|KNOX|500211124|10-JUN-1943|F|1|0|0|N|10|1|1|640883862V|Cyhbcg|Whpr|R
4|INSERT|8|SC|BEAUFORT|876116658|24-SEP-1952|M|1|1|1|N|20|0|0|263937173C|Fynxby|Htvb|M
4|INSERT|9|NJ|OCEAN|651282684|07-SEP-1936|F|1|0|0|N|10|0|0|672111025A|Zefdex|Dflu|
4|INSERT|10|NY|TIOGA|126387578|09-APR-1946|M|1|0|0|N|10|0|0|743228672A|Tycugg|Usaa|S
4|INSERT|11|WV|HANCOCK|593577177|13-MAR-1941|F|1|1|0|N|10|0|0|235758833J|Vedlzh|Gikb|H
4|INSERT|12|FL|LEE|99743888.|19-NOV-1918|F|1|0|0|N|10|0|0|850271532X|Eijrzg|Wetn|E
4|INSERT|13|TX|TITUS|1432164.1|14-SEP-1967|M|2|1|1|N|20|0|0|305900876U|Ijfmob|Iijc|
